Filename, Arquitetura, Dataset, PostProcessing, ictalTP, ictalTN, ictalFP, ictalFN, ictalSE, ictalSP, preTP, preTN, preFP, preFN, preSE, preSP, accuracyDetecting, accuracyPredicting
1convHighFilters.mat,cnn,dataset1,1,19,15087,874,5,0.79167,0.94524,114,6433,9375,63,0.64407,0.40695,0.79167,0.64407
1convHighFilters.mat,cnn,dataset1,2,0,15921,40,24,0,0.99749,30,13724,2084,147,0.16949,0.86817,0,0.16949
1convHighFilters.mat,cnn,dataset1,3,0,15632,329,24,0,0.97939,85,8358,7450,92,0.48023,0.52872,0,0.48023
1convHighFilters.mat,cnn,dataset2,1,2,17791,556,6,0.25,0.9697,32,11643,6653,27,0.54237,0.63637,0.25,0.54237
1convHighFilters.mat,cnn,dataset2,2,0,18346,1,8,0,0.99995,0,16494,1802,59,0,0.90151,0,0
1convHighFilters.mat,cnn,dataset2,3,0,18324,23,8,0,0.99875,11,13350,4946,48,0.18644,0.72967,0,0.18644
1convHighFilters60train40test.mat,cnn,dataset1,1,19,14730,1231,5,0.79167,0.92287,93,6394,9414,84,0.52542,0.40448,0.79167,0.52542
1convHighFilters60train40test.mat,cnn,dataset1,2,0,15869,92,24,0,0.99424,26,14004,1804,151,0.14689,0.88588,0,0.14689
1convHighFilters60train40test.mat,cnn,dataset1,3,2,15455,506,22,0.083333,0.9683,70,8328,7480,107,0.39548,0.52682,0.083333,0.39548
1convHighFilters60train40test.mat,cnn,dataset2,1,2,17237,1110,6,0.25,0.9395,29,11922,6374,30,0.49153,0.65162,0.25,0.49153
1convHighFilters60train40test.mat,cnn,dataset2,2,0,18346,1,8,0,0.99995,0,17197,1099,59,0,0.93993,0,0
1convHighFilters60train40test.mat,cnn,dataset2,3,0,18202,145,8,0,0.9921,13,13844,4452,46,0.22034,0.75667,0,0.22034
1convLowFilterNumbers.mat,cnn,dataset1,1,21,15235,726,3,0.875,0.95451,127,5727,10081,50,0.71751,0.36228,0.875,0.71751
1convLowFilterNumbers.mat,cnn,dataset1,2,0,15938,23,24,0,0.99856,46,11909,3899,131,0.25989,0.75335,0,0.25989
1convLowFilterNumbers.mat,cnn,dataset1,3,0,15725,236,24,0,0.98521,102,7322,8486,75,0.57627,0.46318,0,0.57627
1convLowFilterNumbers.mat,cnn,dataset2,1,1,17926,421,7,0.125,0.97705,35,10956,7340,24,0.59322,0.59882,0.125,0.59322
1convLowFilterNumbers.mat,cnn,dataset2,2,0,18347,0,8,0,1,0,15736,2560,59,0,0.86008,0,0
1convLowFilterNumbers.mat,cnn,dataset2,3,0,18343,4,8,0,0.99978,20,12696,5600,39,0.33898,0.69392,0,0.33898
1convLowFilterNumber60train40test.mat,cnn,dataset1,1,25,15214,936,2,0.92593,0.94204,179,5889,10051,58,0.75527,0.36945,0.92593,0.75527
1convLowFilterNumber60train40test.mat,cnn,dataset1,2,0,16116,34,27,0,0.99789,61,12738,3202,176,0.25738,0.79912,0,0.25738
1convLowFilterNumber60train40test.mat,cnn,dataset1,3,0,15886,264,27,0,0.98365,136,7553,8387,101,0.57384,0.47384,0,0.57384
1convLowFilterNumber60train40test.mat,cnn,dataset2,1,9,17623,792,6,0.6,0.95699,42,11183,7169,36,0.53846,0.60936,0.6,0.53846
1convLowFilterNumber60train40test.mat,cnn,dataset2,2,0,18414,1,15,0,0.99995,0,16538,1814,78,0,0.90116,0,0
1convLowFilterNumber60train40test.mat,cnn,dataset2,3,1,18356,59,14,0.066667,0.9968,18,13028,5324,60,0.23077,0.7099,0.066667,0.23077
2convHighFilterNumber.mat,cnn,dataset1,1,22,15566,395,2,0.91667,0.97525,153,4470,11338,24,0.86441,0.28277,0.91667,0.86441
2convHighFilterNumber.mat,cnn,dataset1,2,0,15955,6,24,0,0.99962,63,10362,5446,114,0.35593,0.65549,0,0.35593
2convHighFilterNumber.mat,cnn,dataset1,3,0,15928,33,24,0,0.99793,131,5770,10038,46,0.74011,0.36501,0,0.74011
2convHighFilterNumber.mat,cnn,dataset2,1,2,17668,679,6,0.25,0.96299,29,12211,6085,30,0.49153,0.66741,0.25,0.49153
2convHighFilterNumber.mat,cnn,dataset2,2,0,18347,0,8,0,1,4,16515,1781,55,0.067797,0.90266,0,0.067797
2convHighFilterNumber.mat,cnn,dataset2,3,0,18321,26,8,0,0.99858,13,13927,4369,46,0.22034,0.7612,0,0.22034
2convHighFilterNumber60train40test.mat,cnn,dataset1,1,27,15575,575,0,1,0.9644,185,5752,10188,52,0.78059,0.36085,1,0.78059
2convHighFilterNumber60train40test.mat,cnn,dataset1,2,0,16141,9,27,0,0.99944,61,11657,4283,176,0.25738,0.7313,0,0.25738
2convHighFilterNumber60train40test.mat,cnn,dataset1,3,0,16079,71,27,0,0.9956,142,7354,8586,95,0.59916,0.46136,0,0.59916
2convHighFilterNumber60train40test.mat,cnn,dataset2,1,7,17084,1331,8,0.46667,0.92772,30,13464,4888,48,0.38462,0.73365,0.46667,0.38462
2convHighFilterNumber60train40test.mat,cnn,dataset2,2,0,18411,4,15,0,0.99978,0,17407,945,78,0,0.94851,0,0
2convHighFilterNumber60train40test.mat,cnn,dataset2,3,0,18045,370,15,0,0.97991,8,15288,3064,70,0.10256,0.83304,0,0.10256
2convLayersLowFilterNumber.mat,cnn,dataset1,1,23,15570,391,1,0.95833,0.9755,155,4393,11415,22,0.87571,0.2779,0.95833,0.87571
2convLayersLowFilterNumber.mat,cnn,dataset1,2,0,15954,7,24,0,0.99956,62,9828,5980,115,0.35028,0.62171,0,0.35028
2convLayersLowFilterNumber.mat,cnn,dataset1,3,0,15935,26,24,0,0.99837,138,5592,10216,39,0.77966,0.35374,0,0.77966
2convLayersLowFilterNumber.mat,cnn,dataset2,1,2,17142,1205,6,0.25,0.93432,26,12381,5915,33,0.44068,0.67671,0.25,0.44068
2convLayersLowFilterNumber.mat,cnn,dataset2,2,0,18346,1,8,0,0.99995,0,16775,1521,59,0,0.91687,0,0
2convLayersLowFilterNumber.mat,cnn,dataset2,3,0,18157,190,8,0,0.98964,9,14256,4040,50,0.15254,0.77919,0,0.15254
2convLayersLowFilterNumber60train40test.mat,cnn,dataset1,1,25,15074,1076,2,0.92593,0.93337,186,5171,10769,51,0.78481,0.3244,0.92593,0.78481
2convLayersLowFilterNumber60train40test.mat,cnn,dataset1,2,0,16131,19,27,0,0.99882,79,10879,5061,158,0.33333,0.6825,0,0.33333
2convLayersLowFilterNumber60train40test.mat,cnn,dataset1,3,0,15875,275,27,0,0.98297,149,6621,9319,88,0.62869,0.41537,0,0.62869
2convLayersLowFilterNumber60train40test.mat,cnn,dataset2,1,12,15406,3009,3,0.8,0.8366,29,14312,4040,49,0.37179,0.77986,0.8,0.37179
2convLayersLowFilterNumber60train40test.mat,cnn,dataset2,2,0,17953,462,15,0,0.97491,0,17521,831,78,0,0.95472,0,0
2convLayersLowFilterNumber60train40test.mat,cnn,dataset2,3,1,16453,1962,14,0.066667,0.89346,15,15987,2365,63,0.19231,0.87113,0.066667,0.19231
3convgrowingFilterNumberAndSize(Strides=1).mat,cnn,dataset1,1,24,15260,701,0,1,0.95608,115,5823,9985,62,0.64972,0.36836,1,0.64972
3convgrowingFilterNumberAndSize(Strides=1).mat,cnn,dataset1,2,0,15922,39,24,0,0.99756,36,11878,3930,141,0.20339,0.75139,0,0.20339
3convgrowingFilterNumberAndSize(Strides=1).mat,cnn,dataset1,3,0,15714,247,24,0,0.98452,85,7535,8273,92,0.48023,0.47666,0,0.48023
3convgrowingFilterNumberAndSize(Strides=1).mat,cnn,dataset2,1,3,16937,1410,5,0.375,0.92315,22,13092,5204,37,0.37288,0.71557,0.375,0.37288
3convgrowingFilterNumberAndSize(Strides=1).mat,cnn,dataset2,2,0,18347,0,8,0,1,0,17877,419,59,0,0.9771,0,0
3convgrowingFilterNumberAndSize(Strides=1).mat,cnn,dataset2,3,0,18185,162,8,0,0.99117,0,15194,3102,59,0,0.83045,0,0
3convgrowingFilterNumberAndSize(Strides=1)60train40test.mat,cnn,dataset1,1,25,15139,1011,2,0.92593,0.9374,160,6223,9717,77,0.67511,0.3904,0.92593,0.67511
3convgrowingFilterNumberAndSize(Strides=1)60train40test.mat,cnn,dataset1,2,0,16086,64,27,0,0.99604,56,12138,3802,181,0.23629,0.76148,0,0.23629
3convgrowingFilterNumberAndSize(Strides=1)60train40test.mat,cnn,dataset1,3,0,15768,382,27,0,0.97635,121,8014,7926,116,0.51055,0.50276,0,0.51055
3convgrowingFilterNumberAndSize(Strides=1)60train40test.mat,cnn,dataset2,1,11,15488,2927,4,0.73333,0.84105,26,14737,3615,52,0.33333,0.80302,0.73333,0.33333
3convgrowingFilterNumberAndSize(Strides=1)60train40test.mat,cnn,dataset2,2,0,18243,172,15,0,0.99066,0,18181,171,78,0,0.99068,0,0
3convgrowingFilterNumberAndSize(Strides=1)60train40test.mat,cnn,dataset2,3,0,16862,1553,15,0,0.91567,9,16894,1458,69,0.11538,0.92055,0,0.11538
3convLowFilterSizesAndNumber.mat,cnn,dataset1,1,22,15530,431,2,0.91667,0.973,148,2963,12845,29,0.83616,0.18744,0.91667,0.83616
3convLowFilterSizesAndNumber.mat,cnn,dataset1,2,0,15953,8,24,0,0.9995,61,7919,7889,116,0.34463,0.50095,0,0.34463
3convLowFilterSizesAndNumber.mat,cnn,dataset1,3,0,15880,81,24,0,0.99493,122,3848,11960,55,0.68927,0.24342,0,0.68927
3convLowFilterSizesAndNumber.mat,cnn,dataset2,1,2,16400,1947,6,0.25,0.89388,15,13882,4414,44,0.25424,0.75875,0.25,0.25424
3convLowFilterSizesAndNumber.mat,cnn,dataset2,2,0,18310,37,8,0,0.99798,0,17583,713,59,0,0.96103,0,0
3convLowFilterSizesAndNumber.mat,cnn,dataset2,3,0,17517,830,8,0,0.95476,7,15852,2444,52,0.11864,0.86642,0,0.11864
3convLowFilterSizesAndNumber60train40test.mat,cnn,dataset1,1,18,15445,705,9,0.66667,0.95635,160,2816,13124,77,0.67511,0.17666,0.66667,0.67511
3convLowFilterSizesAndNumber60train40test.mat,cnn,dataset1,2,0,16045,105,27,0,0.9935,69,7689,8251,168,0.29114,0.48237,0,0.29114
3convLowFilterSizesAndNumber60train40test.mat,cnn,dataset1,3,0,15773,377,27,0,0.97666,126,3666,12274,111,0.53165,0.22999,0,0.53165
3convLowFilterSizesAndNumber60train40test.mat,cnn,dataset2,1,4,15571,2844,11,0.26667,0.84556,5,17105,1247,73,0.064103,0.93205,0.26667,0.064103
